SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Condo/Coop,3792 Quarter Mile Dr,San Diego,CA,92130,899000,3,3.0,Carmel Valley,2164,,2000,2,Garage,35,Active,,,,2016-06-09,910000,2009-09-30,700000.0,http://www.redfin.com/CA/San-Diego/3792-Quarter-Mile-Dr-92130/home/6667365,San Diego County's Regional Multiple Listing Service (SANDICOR),160024327,Redfin Corporation,N,Y,32.9578765,-117.2320509,false
MLS Listing,Condo/Coop,13531 Jadestone,San Diego,CA,92130,739000,4,3.0,Carmel Valley,1550,17883,1996,2,Garage,1,Active,2016-06-12,14:00,16:00,,739000,2010-02-03,554000.0,http://www.redfin.com/CA/San-Diego/13531-Jadestone-Way-92130/home/4477377,San Diego County's Regional Multiple Listing Service (SANDICOR),160030790,Premiere Properties,N,Y,32.9628481,-117.2322833,false
MLS Listing,Condo/Coop,3857 Pell Pl #203,San Diego,CA,92130,556000,2,2.0,Carmel Valley,1246,58315,2005,2,Garage,1,Active,,,,,556000,2005-09-16,564500.0,http://www.redfin.com/CA/San-Diego/3857-Pell-Pl-92130/unit-203/home/7527329,San Diego County's Regional Multiple Listing Service (SANDICOR),160031416,Redfin Corporation,N,Y,32.9493853,-117.2319303,false
MLS Listing,Single Family Residential,13728 Trento,San Diego,CA,92130,1299000,4,3.0,Carmel Valley,3627,6308,1999,4,Garage,2,Active,,,,,1299000,1999-06-28,688000.0,http://www.redfin.com/CA/San-Diego/13728-Trento-Pl-92130/home/4485471,San Diego County's Regional Multiple Listing Service (SANDICOR),160030959,Trinity Homes & Investments,N,Y,32.9665109,-117.23323,false
MLS Listing,Condo/Coop,12559 El Camino Real Unit A,San Diego,CA,92130,719000,3,3.0,Carmel Valley,1564,,1998,2,Garage,13,Active,2016-06-11,11:00,14:00,2016-06-06,729000,1997-09-02,223650.0,http://www.redfin.com/CA/San-Diego/12559-El-Camino-Real-92130/unit-A/home/4516165,San Diego County's Regional Multiple Listing Service (SANDICOR),160028888,Windermere Homes & Estates,N,Y,32.945802,-117.234632,false
MLS Listing,Single Family Residential,3725 Torrey View Ct,San Diego,CA,92130,1100000,3,3.0,Carmel Valley,2421,,1997,5,Garage,4,Active,,,,,1100000,2003-09-12,705000.0,http://www.redfin.com/CA/San-Diego/3725-Torrey-View-Ct-92130/home/4516393,San Diego County's Regional Multiple Listing Service (SANDICOR),160030634,Willis Allen Real Estate,N,Y,32.9206076,-117.2340699,false
MLS Listing,Condo/Coop,3845 Elijah Ct #627,San Diego,CA,92130,485000,2,2.0,Carmel Valley,1018,,2002,2,,1,Active,,,,,485000,2006-05-26,410000.0,http://www.redfin.com/CA/San-Diego/3845-Elijah-Ct-92130/unit-627/home/6684308,San Diego County's Regional Multiple Listing Service (SANDICOR),160031499,Brush R.E. & Financial Srvcs,N,Y,32.9462036,-117.2333608,false
MLS Listing,Single Family Residential,11394 FAIRWIND Ct,SAN DIEGO,CA,92130,1499000,5,5.0,Carmel Valley,3721,12489,2000,5,Garage,69,Active,,,,2016-06-06,1575000,2005-10-07,1365000.0,http://www.redfin.com/CA/San-Diego/11394-Fairwind-Ct-92130/home/6397236,San Diego County's Regional Multiple Listing Service (SANDICOR),160017263,Windermere Homes & Estates,N,Y,32.925273,-117.221016,false
MLS Listing,Single Family Residential,11416 Fairwind Ct,San Diego,CA,92130,1525000,5,5.0,Carmel Valley,3721,,2000,5,Garage,3,Active,,,,,1525000,2000-12-15,705000.0,http://www.redfin.com/CA/San-Diego/11416-Fairwind-Ct-92130/home/6315052,San Diego County's Regional Multiple Listing Service (SANDICOR),160030815,Pacific Sotheby's Int'l Realty,N,Y,32.925823,-117.221156,false
MLS Listing,Single Family Residential,11648 Chesterwood Pl,San Diego,CA,92130,1725000,5,5.0,Carmel Valley,4327,,2001,3,Garage,39,Active,,,,,1725000,2004-06-23,1525000.0,http://www.redfin.com/CA/San-Diego/11648-Chesterwood-Pl-92130/home/6484719,San Diego County's Regional Multiple Listing Service (SANDICOR),160023370,Berkshire Hathaway HomeService,N,Y,32.930499,-117.225296,false
